( 51085 , '2018-05-29') 
( 51126 , '2018-05-11') 
( 51126 , '2018-05-29') 
( 51270 , '2018-05-17') 
( 51270 , '2018-05-25') 
( 51270 , '2018-05-29') 
( 51270 , '2018-05-30') 
( 51308 , '2018-05-12') 
( 51308 , '2018-05-13') 
( 51308 , '2018-05-25') 
( 51308 , '2018-05-29') 
( 51313 , '2018-05-03') 
( 51313 , '2018-05-13') 
( 51313 , '2018-05-25') 
( 51313 , '2018-05-26') 
( 51313 , '2018-05-27') 
( 51313 , '2018-05-29') 
( 51621 , '2018-05-10') 
( 51621 , '2018-05-12') 
( 51621 , '2018-05-29') 
( 51930 , '2018-05-29') 
( 54145 , '2018-05-06') 
( 54145 , '2018-05-19') 
( 54145 , '2018-05-22') 
( 54145 , '2018-05-29') 
( 54875 , '2018-05-15') 
( 54875 , '2018-05-29') 
( 55363 , '2018-05-03') 
( 55363 , '2018-05-08') 
( 55363 , '2018-05-10') 
( 55363 , '2018-05-29') 
( 56578 , '2018-05-15') 
( 56578 , '2018-05-18') 
( 56578 , '2018-05-29') 
( 56578 , '2018-05-31') 
( 57477 , '2018-05-29') 
( 57504 , '2018-05-17') 
( 57504 , '2018-05-29') 
( 57785 , '2018-05-29') 
( 59825 , '2018-05-28') 
( 59825 , '2018-05-29') 
( 64205 , '2018-05-09') 
( 64205 , '2018-05-24') 
( 64205 , '2018-05-29') 
( 64205 , '2018-05-30') 
( 64205 , '2018-05-31') 
( 85084 , '2018-05-29') 
( 85150 , '2018-05-28') 
( 85505 , '2018-05-05') 
( 85505 , '2018-05-08') 
( 85505 , '2018-05-29') 
( 85565 , '2018-05-29') 
( 85649 , '2018-05-17') 
( 85649 , '2018-05-29') 
( 85660 , '2018-05-11') 
( 85660 , '2018-05-29') 
( 85721 , '2018-05-07') 
( 85721 , '2018-05-29') 
( 86019 , '2018-05-11') 
( 86019 , '2018-05-27') 
( 86019 , '2018-05-29') 
( 86222 , '2018-05-09') 
( 86222 , '2018-05-11') 
( 86222 , '2018-05-13') 
( 86222 , '2018-05-25') 
( 86222 , '2018-05-26') 
( 86222 , '2018-05-27') 
( 86222 , '2018-05-29') 
( 86222 , '2018-05-30') 
