31270;556718-4311;20180414;2424;-395.23;0.00;-23.77
31270;556718-4311;20180414;3010;-85104.45;0.00;-21276.06
31270;556718-4311;20180414;3021;-4627.76;1863.19;-555.28
31270;556718-4311;20180414;3022;-5268.07;2385.07;-632.93
31270;556718-4311;20180414;3023;-815.18;541.07;-97.82
31270;556718-4311;20180414;3024;-116.07;80.84;-13.93
31270;556718-4311;20180414;3025;-41.07;27.71;-4.93
31270;556718-4311;20180414;3026;-155.37;95.60;-18.63
31270;556718-4311;20180414;3027;-121.43;66.81;-14.57
31270;556718-4311;20180414;3028;-31.24;20.00;-3.76
31270;556718-4311;20180414;3040;-821.60;271.63;-205.40
31270;556718-4311;20180414;3044;-80.13;0.00;-20.03
31270;556718-4311;20180414;3047;-548.00;243.50;-137.00
31270;556718-4311;20180414;3048;-351.20;167.97;-87.80
31270;556718-4311;20180414;3049;-320.80;263.11;-80.20
31270;556718-4311;20180414;3050;-1180.80;856.34;-295.20
31270;556718-4311;20180414;3051;-633.60;333.26;-158.40
31270;556718-4311;20180414;3055;-1705.60;1162.94;-426.40
31270;556718-4311;20180414;3056;-8615.20;7685.57;-2153.80
31270;556718-4311;20180414;3058;-3336.40;1662.91;-400.36
31270;556718-4311;20180414;3060;-23.58;23.58;-1.42
31270;556718-4311;20180414;3071;-900.00;846.00;0.00
31270;556718-4311;20180414;3090;-4458.40;0.00;-1114.60
31270;556718-4311;20180414;3092;-369.60;234.74;-92.40
31270;556718-4311;20180414;3100;-3568.00;0.00;-892.00
31270;556718-4311;20180414;3110;-1648.00;0.00;-412.00
31270;556718-4311;20180414;1912;17949.50;;
31270;556718-4311;20180414;2444;2248.52;;
31270;556718-4311;20180414;2445;132568.59;;
31270;556718-4311;20180414;2446;1584.60;;
31270;556718-4311;20180414;3740;1.15;;
31270;556718-4311;20180414;9400;5008.22;;
31270;556718-4311;20180414;9401;4361.86;;
31270;556718-4311;20180414;9403;1116.10;;
31885;556624-5063;20180406;1693;-770.00;0.00;0.00
31885;556624-5063;20180406;2424;-348.06;0.00;-20.94
31885;556624-5063;20180406;3010;-50459.41;0.00;-12614.87
31885;556624-5063;20180406;3021;-2704.53;832.40;-324.47
31885;556624-5063;20180406;3022;-2313.65;1125.25;-277.85
31885;556624-5063;20180406;3023;-179.91;119.69;-21.59
31885;556624-5063;20180406;3024;-119.64;60.17;-14.36
31885;556624-5063;20180406;3026;-36.61;20.58;-4.39
31885;556624-5063;20180406;3027;-111.58;54.90;-13.42
31885;556624-5063;20180406;3028;-66.96;36.54;-8.04
31885;556624-5063;20180406;3040;-188.00;63.92;-47.00
31885;556624-5063;20180406;3041;-156.00;104.00;-39.00
31885;556624-5063;20180406;3047;-849.60;419.25;-212.40
31885;556624-5063;20180406;3048;-1140.00;478.00;-285.00
31885;556624-5063;20180406;3049;-561.20;517.87;-140.30
31885;556624-5063;20180406;3050;-640.00;301.88;-160.00
31885;556624-5063;20180406;3051;-188.80;130.24;-47.20
31885;556624-5063;20180406;3055;-2677.60;1792.04;-669.40
31885;556624-5063;20180406;3056;-6406.00;5636.23;-1601.50
31885;556624-5063;20180406;3057;-143.75;89.70;-17.25
31885;556624-5063;20180406;3058;-2593.78;1345.02;-311.22
31885;556624-5063;20180406;3060;-163.87;163.87;-9.83
31885;556624-5063;20180406;3071;-1200.00;1081.30;0.00
31885;556624-5063;20180406;3090;-640.00;0.00;-160.00
31885;556624-5063;20180406;3092;-332.00;216.90;-83.00
31885;556624-5063;20180406;3110;-1540.00;0.00;-385.00
31885;556624-5063;20180406;3118;-280.00;0.00;-70.00
31885;556624-5063;20180406;1691;-1562.00;;
31885;556624-5063;20180406;1693;210.00;;
31885;556624-5063;20180406;1696;-13073.40;;
31885;556624-5063;20180406;1912;8417.00;;
31885;556624-5063;20180406;2444;1018.00;;
31885;556624-5063;20180406;2445;99838.53;;
31885;556624-5063;20180406;3740;0.75;;
31885;556624-5063;20180406;9400;2802.75;;
31885;556624-5063;20180406;9401;2946.36;;
31885;556624-5063;20180407;1679;-328.00;0.00;-82.00
31885;556624-5063;20180407;1682;-59.00;0.00;0.00
31885;556624-5063;20180407;1693;-540.00;0.00;0.00
31885;556624-5063;20180407;2424;-466.91;0.00;-28.09
31885;556624-5063;20180407;3010;-35677.56;0.00;-8919.41
31885;556624-5063;20180407;3021;-1400.37;484.02;-168.03
31885;556624-5063;20180407;3022;-1902.26;935.66;-228.44
31885;556624-5063;20180407;3023;-205.70;145.38;-24.70
31885;556624-5063;20180407;3024;-98.21;50.94;-11.79
31885;556624-5063;20180407;3027;-49.10;27.07;-5.90
31885;556624-5063;20180407;3028;-14.28;8.00;-1.72
31885;556624-5063;20180407;3040;-256.00;83.46;-64.00
31885;556624-5063;20180407;3047;-723.20;374.72;-180.80
31885;556624-5063;20180407;3048;-193.60;87.24;-48.40
31885;556624-5063;20180407;3049;-452.00;380.20;-113.00
31885;556624-5063;20180407;3050;-956.00;736.12;-239.00
31885;556624-5063;20180407;3051;-735.20;381.31;-183.80
31885;556624-5063;20180407;3055;-1557.60;1058.02;-389.40
31885;556624-5063;20180407;3056;-5876.00;5193.07;-1469.00
31885;556624-5063;20180407;3057;-31.25;18.90;-3.75
31885;556624-5063;20180407;3058;-1732.87;793.70;-207.93
31885;556624-5063;20180407;3060;-106.42;106.42;-6.38
31885;556624-5063;20180407;3071;-387.00;353.76;0.00
31885;556624-5063;20180407;3090;-480.00;0.00;-120.00
31885;556624-5063;20180407;3092;-163.20;113.31;-40.80
31885;556624-5063;20180407;3110;-2620.00;0.00;-655.00
