F105930 51126 Ek´s Bensin & Närlivs AB;11;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F114013 51270 Preem Lidingö AB;17;25;29;30;;;;;;;;;;;;;;;;;;;;;;;;
F112824 51308 Häggmark försäljning AB;12;13;25;29;;;;;;;;;;;;;;;;;;;;;;;;
F105989 51313 Björnens bensin & biluthyrning AB;03;13;25;26;27;29;;;;;;;;;;;;;;;;;;;;;;
F150012 51621 SusMel AB;10;12;29;;;;;;;;;;;;;;;;;;;;;;;;;
F150004 51930 Centrumtappen Aktiebolag;29;;;;;;;;;;;;;;;;;;;;;;;;;;;
F105920 54145 Ekolsunds Bensinservice AB;06;19;22;29;;;;;;;;;;;;;;;;;;;;;;;;
F105938 54875 Blomgren Handel AB;15;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F112224 55363 IJ´s Gasoline AB;03;08;10;29;;;;;;;;;;;;;;;;;;;;;;;;
F111942 56578 EABG Fuel & Retail AB;15;18;29;31;;;;;;;;;;;;;;;;;;;;;;;;
F150010 57477 TAPH Försäljning i Linköping AB;29;;;;;;;;;;;;;;;;;;;;;;;;;;;
F105949 57504 Smiths Bensin & Service AB;17;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F111648 57785 Parinova i Ljungsbro AB;29;;;;;;;;;;;;;;;;;;;;;;;;;;;
F112732 59825 Parkolja AB;28;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F105964 64205 Benso Station AB;09;24;29;30;31;;;;;;;;;;;;;;;;;;;;;;;
F105963 85084 Bollnäs Bensin Aktiebolag;29;;;;;;;;;;;;;;;;;;;;;;;;;;;
F112471 85150 Bensin I Hälsingland AB;28;;;;;;;;;;;;;;;;;;;;;;;;;;;
F105994 85505 Ljusne Bensin & Butik AB;05;08;29;;;;;;;;;;;;;;;;;;;;;;;;;
F150008 85565 Back´s Mack AB;29;;;;;;;;;;;;;;;;;;;;;;;;;;;
F105978 85649 Larssons Livs & Service i Skutskär Aktiebolag;17;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F105976 85660 Macken i Skärplinge AB;11;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F113699 85721 Söderhamn Bensin & Butik AB;07;29;;;;;;;;;;;;;;;;;;;;;;;;;;
F112909 86019 Evas Bensin AB;11;27;29;;;;;;;;;;;;;;;;;;;;;;;;;
F112615 86222 Jungfrurondellens Service  AB;09;11;13;25;26;27;29;30;;;;;;;;;;;;;;;;;;;;
