46081;556712-8920;20180430;1679;-232.00;0.00;-58.00
46081;556712-8920;20180430;1682;-100.00;0.00;0.00
46081;556712-8920;20180430;2424;-316.00;0.00;-19.00
46081;556712-8920;20180430;3010;-91905.57;0.00;-22976.42
46081;556712-8920;20180430;3021;-9789.02;5807.47;-1174.66
46081;556712-8920;20180430;3022;-5130.73;2541.50;-616.28
46081;556712-8920;20180430;3023;-797.37;548.87;-95.69
46081;556712-8920;20180430;3024;-58.04;36.15;-6.96
46081;556712-8920;20180430;3025;-15.27;16.14;-1.83
46081;556712-8920;20180430;3026;-297.29;165.21;-35.71
46081;556712-8920;20180430;3027;-194.55;98.92;-23.35
46081;556712-8920;20180430;3028;-51.78;31.00;-6.22
46081;556712-8920;20180430;3040;-576.00;189.79;-144.00
46081;556712-8920;20180430;3041;-604.80;387.72;-151.20
46081;556712-8920;20180430;3047;-416.00;206.24;-104.00
46081;556712-8920;20180430;3048;-404.80;195.64;-101.20
46081;556712-8920;20180430;3049;-57.60;31.93;-14.40
46081;556712-8920;20180430;3050;-878.40;431.30;-219.60
46081;556712-8920;20180430;3051;-981.60;671.22;-245.40
46081;556712-8920;20180430;3055;-3252.00;2211.62;-813.00
46081;556712-8920;20180430;3056;-9514.40;8465.01;-2378.60
46081;556712-8920;20180430;3057;-104.46;66.10;-12.54
46081;556712-8920;20180430;3058;-3135.72;1563.12;-376.38
46081;556712-8920;20180430;3060;-193.39;193.39;-11.61
46081;556712-8920;20180430;3071;-10.00;9.00;0.00
46081;556712-8920;20180430;3090;-3756.80;0.00;-939.20
46081;556712-8920;20180430;3092;-852.00;586.16;-213.00
46081;556712-8920;20180430;3100;-156.00;0.00;-39.00
46081;556712-8920;20180430;3110;-2304.00;0.00;-576.00
46081;556712-8920;20180430;3118;-640.00;0.00;-160.00
46081;556712-8920;20180430;1912;16633.00;;
46081;556712-8920;20180430;2444;1627.00;;
46081;556712-8920;20180430;2445;148685.79;;
46081;556712-8920;20180430;2446;1136.00;;
46081;556712-8920;20180430;3740;-0.08;;
46081;556712-8920;20180430;3790;-868.70;;
46081;556712-8920;20180430;6385;1025.83;;
46081;556712-8920;20180430;9400;6128.77;;
46081;556712-8920;20180430;9401;6439.86;;
46081;556712-8920;20180430;9403;3115.32;;
